Ticker,Date,Open,High,Low,Close,Adjusted_close,Adjusted_low,Adjusted_high,Adjusted_open,Volume
AMD.US  ,1/2/2015 12:00:00 AM,2.7,2.73,2.64,2.69,2.69,2.64,2.73,2.7,8330255
AMD.US  ,1/5/2015 12:00:00 AM,2.67,2.7,2.64,2.66,2.66,2.64,2.7,2.67,8878176
AMD.US  ,1/6/2015 12:00:00 AM,2.65,2.66,2.55,2.63,2.63,2.55,2.66,2.65,13916650
AMD.US  ,1/7/2015 12:00:00 AM,2.63,2.65,2.54,2.58,2.58,2.54,2.65,2.63,12377550
AMD.US  ,1/8/2015 12:00:00 AM,2.59,2.645,2.56,2.61,2.61,2.56,2.645,2.59,11136590
AMD.US  ,1/9/2015 12:00:00 AM,2.63,2.64,2.58,2.63,2.63,2.58,2.64,2.63,8907618
AMD.US  ,1/12/2015 12:00:00 AM,2.62,2.64,2.55,2.63,2.63,2.55,2.64,2.62,9979638
AMD.US  ,1/13/2015 12:00:00 AM,2.64,2.68,2.6,2.66,2.66,2.6,2.68,2.64,17907350
AMD.US  ,1/14/2015 12:00:00 AM,2.6,2.66,2.58,2.63,2.63,2.58,2.66,2.6,9989870
AMD.US  ,1/15/2015 12:00:00 AM,2.62,2.65,2.49,2.52,2.52,2.49,2.65,2.62,17744039
AMD.US  ,1/16/2015 12:00:00 AM,2.52,2.53,2.39,2.39,2.39,2.39,2.53,2.52,30192439
AMD.US  ,1/20/2015 12:00:00 AM,2.39,2.43,2.19,2.24,2.24,2.19,2.43,2.39,56713301
AMD.US  ,1/21/2015 12:00:00 AM,2.18,2.45,2.14,2.45,2.45,2.14,2.45,2.18,46530832
AMD.US  ,1/22/2015 12:00:00 AM,2.42,2.5,2.37,2.47,2.47,2.37,2.5,2.42,36169578
AMD.US  ,1/23/2015 12:00:00 AM,2.48,2.5,2.43,2.45,2.45,2.43,2.5,2.48,11107160
AMD.US  ,1/26/2015 12:00:00 AM,2.44,2.64,2.44,2.61,2.61,2.44,2.64,2.44,36571312
AMD.US  ,1/27/2015 12:00:00 AM,2.58,2.84,2.56,2.7,2.7,2.56,2.84,2.58,51805832
AMD.US  ,1/28/2015 12:00:00 AM,2.71,2.75,2.6,2.63,2.63,2.6,2.75,2.71,24786170
AMD.US  ,1/29/2015 12:00:00 AM,2.63,2.69,2.51,2.61,2.61,2.51,2.69,2.63,17790199
AMD.US  ,1/30/2015 12:00:00 AM,2.56,2.6,2.51,2.57,2.57,2.51,2.6,2.56,12908180
AMD.US  ,2/2/2015 12:00:00 AM,2.69,2.75,2.65,2.67,2.67,2.65,2.75,2.69,25688699
AMD.US  ,2/3/2015 12:00:00 AM,2.7,2.8,2.68,2.76,2.76,2.68,2.8,2.7,22592289
AMD.US  ,2/4/2015 12:00:00 AM,2.78,2.92,2.76,2.85,2.85,2.76,2.92,2.78,34829281
AMD.US  ,2/5/2015 12:00:00 AM,2.88,3.37,2.87,3.31,3.31,2.87,3.37,2.88,73355633
AMD.US  ,2/6/2015 12:00:00 AM,3.2,3.21,3,3.03,3.03,3,3.21,3.2,38299961
AMD.US  ,2/9/2015 12:00:00 AM,3.03,3.07,2.93,3.04,3.04,2.93,3.07,3.03,24133770
AMD.US  ,2/10/2015 12:00:00 AM,3.07,3.1,3.01,3.04,3.04,3.01,3.1,3.07,13995060
AMD.US  ,2/11/2015 12:00:00 AM,3.03,3.1,3,3.07,3.07,3,3.1,3.03,11741090
AMD.US  ,2/12/2015 12:00:00 AM,3.08,3.15,3.05,3.12,3.12,3.05,3.15,3.08,12974990
AMD.US  ,2/13/2015 12:00:00 AM,3.13,3.18,3.11,3.15,3.15,3.11,3.18,3.13,9627555
AMD.US  ,2/17/2015 12:00:00 AM,3.16,3.17,3.08,3.11,3.11,3.08,3.17,3.16,8678124
AMD.US  ,2/18/2015 12:00:00 AM,3.11,3.135,3.06,3.08,3.08,3.06,3.135,3.11,7286117
AMD.US  ,2/19/2015 12:00:00 AM,3.06,3.08,3.01,3.055,3.055,3.01,3.08,3.06,6573575
AMD.US  ,2/20/2015 12:00:00 AM,3.03,3.13,3.02,3.06,3.06,3.02,3.13,3.03,10667510
